rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
1,42.358526,-71.087675,192,0.946,2,431.8,SLCONS,431.8,398.2,3277.8,23.9,2953.6,1,0,KEEP_INCOV_UNCHARTED
2,42.358698,-71.087089,65,0.941,2,380.0,SLCONS,380.0,350.1,3229.5,40.5,2902.0,1,0,KEEP_INCOV_UNCHARTED
3,42.375842,-71.047512,59,0.737,1,4.9,PONTON,4.9,116.9,507.3,70.6,591.1,0,0,SUPPRESS_CHARTED
4,42.358247,-71.088343,57,0.923,2,494.4,SLCONS,494.4,453.1,3333.3,62.0,3016.6,1,0,KEEP_INCOV_UNCHARTED
5,42.358712,-71.087367,56,0.897,2,400.6,SLCONS,400.6,372.9,3252.3,32.8,2921.7,1,0,KEEP_INCOV_UNCHARTED
6,42.358498,-71.079406,56,0.717,1,242.0,BRIDGE,242.0,281.2,2598.6,2.1,2367.4,1,0,KEEP_INCOV_UNCHARTED
7,42.358552,-71.087410,55,0.910,2,410.6,SLCONS,410.6,376.4,3256.0,14.8,2932.9,1,0,KEEP_INCOV_UNCHARTED
8,42.358465,-71.087968,50,0.867,2,456.6,SLCONS,456.6,422.3,3302.0,39.7,2978.2,1,0,KEEP_INCOV_UNCHARTED
9,42.357835,-71.087650,42,0.188,2,465.1,SLCONS,465.1,396.1,3277.8,16.5,2987.0,1,0,TRANSIENT_NEARLANE
10,42.358326,-71.087985,38,0.535,1,464.0,SLCONS,464.0,423.7,3303.7,34.5,2986.4,1,0,KEEP_INCOV_UNCHARTED
11,42.378286,-71.046405,38,0.747,1,104.8,OBSTRN,119.3,119.3,750.1,31.8,338.9,0,0,UNKNOWN_OUTCOV
12,42.356901,-71.083744,37,0.959,3,267.8,SLCONS,267.8,75.3,2963.4,202.0,2762.7,1,0,UNKNOWN_INCOV
13,42.358249,-71.088543,34,0.848,2,509.5,SLCONS,509.5,469.5,3349.7,78.4,3031.2,1,0,KEEP_INCOV_UNCHARTED
14,42.357639,-71.090030,32,0.945,2,648.6,SLCONS,648.6,591.7,3474.1,207.9,3170.8,1,0,KEEP_INCOV_UNCHARTED
15,42.356687,-71.083706,31,0.951,3,244.3,SLCONS,244.3,72.1,2962.2,219.6,2773.1,1,0,UNKNOWN_INCOV
16,42.378730,-71.046373,31,0.917,1,108.5,OBSTRN,132.0,132.0,705.4,38.4,312.2,0,0,UNKNOWN_OUTCOV
17,42.358912,-71.087362,30,0.959,2,392.6,SLCONS,392.6,372.5,3251.8,55.0,2911.5,1,0,KEEP_INCOV_UNCHARTED
18,42.358503,-71.088329,29,0.851,2,482.7,SLCONS,482.7,452.0,3331.6,67.9,3002.9,1,0,KEEP_INCOV_UNCHARTED
19,42.359173,-71.087057,29,0.928,2,360.2,SLCONS,360.2,347.4,3226.8,88.7,2876.3,1,0,KEEP_INCOV_UNCHARTED
20,42.358565,-71.087180,29,0.463,2,392.8,SLCONS,392.8,357.6,3237.1,24.7,2915.4,1,0,KEEP_INCOV_UNCHARTED
21,42.357790,-71.089758,28,0.930,2,621.3,SLCONS,621.3,569.3,3451.0,182.7,3143.3,1,0,KEEP_INCOV_UNCHARTED
22,42.377816,-71.048114,27,0.906,2,28.9,SLCONS,28.9,28.9,731.8,156.4,402.8,0,0,SUPPRESS_CHARTED
23,42.376712,-71.049322,27,0.865,1,4.5,PONTON,4.5,24.4,652.9,230.2,541.6,0,0,SUPPRESS_CHARTED
24,42.356502,-71.083710,26,0.724,3,225.0,SLCONS,225.0,72.5,2964.4,233.2,2776.9,1,0,UNKNOWN_INCOV
25,42.357143,-71.083766,26,0.864,3,293.8,SLCONS,293.8,77.2,2963.3,184.3,2749.7,1,0,UNKNOWN_INCOV
26,42.377163,-71.047764,26,0.947,1,14.3,SLCONS,14.3,14.3,654.3,116.1,473.4,0,0,SUPPRESS_CHARTED
27,42.377374,-71.047833,26,0.853,1,16.7,SLCONS,16.7,16.7,678.3,126.7,450.2,0,0,SUPPRESS_CHARTED
28,42.374899,-71.048437,25,0.991,2,0.6,PONTON,0.6,41.9,441.0,183.3,720.5,1,0,SUPPRESS_CHARTED
29,42.360481,-71.089180,25,0.825,2,522.8,SLCONS,522.8,522.8,3405.3,271.7,2977.4,1,0,KEEP_INCOV_UNCHARTED
30,42.374633,-71.048151,25,0.939,1,14.4,PONTON,14.4,79.2,403.6,186.2,729.8,1,0,SUPPRESS_CHARTED
31,42.375609,-71.043222,25,0.878,1,12.8,PILPNT,12.8,73.9,503.7,283.8,483.7,0,0,SUPPRESS_CHARTED
32,42.376705,-71.046525,24,0.271,2,71.1,OBSTRN,84.3,84.3,585.2,5.9,465.5,0,0,TRANSIENT_NEARLANE
33,42.358480,-71.090740,24,0.945,2,672.4,SLCONS,672.4,650.0,3529.7,260.5,3182.9,1,0,KEEP_INCOV_UNCHARTED
34,42.376068,-71.047803,24,0.739,1,5.3,PONTON,5.3,84.4,538.4,95.5,587.9,0,0,SUPPRESS_CHARTED
35,42.376930,-71.049016,24,0.927,1,8.3,PONTON,8.3,31.3,664.1,210.6,512.0,0,0,SUPPRESS_CHARTED
36,42.360518,-71.083464,23,0.850,3,62.8,SLCONS,62.8,62.8,2936.7,325.7,2545.5,1,0,UNKNOWN_INCOV
37,42.359243,-71.088008,23,0.865,2,434.4,SLCONS,434.4,425.6,3305.0,104.1,2943.6,1,0,KEEP_INCOV_UNCHARTED
38,42.360773,-71.082844,23,0.822,3,14.6,BUISGL,14.6,58.0,2887.6,344.3,2487.3,1,0,SUPPRESS_CHARTED
39,42.376883,-71.043312,23,0.931,1,11.4,SLCONS,98.1,98.1,633.2,248.5,342.9,0,0,UNKNOWN_OUTCOV
40,42.359160,-71.086467,22,0.848,3,314.1,SLCONS,314.1,299.0,3178.3,112.9,2833.4,1,0,KEEP_INCOV_UNCHARTED
41,42.359609,-71.088241,22,0.818,2,447.1,SLCONS,447.1,444.7,3324.8,149.1,2944.1,1,0,KEEP_INCOV_UNCHARTED
42,42.358692,-71.086805,22,0.879,2,358.9,SLCONS,358.9,326.7,3206.1,58.0,2881.4,1,0,KEEP_INCOV_UNCHARTED
43,42.377832,-71.049053,22,0.938,1,12.9,SLCONS,12.9,12.9,757.8,233.2,415.8,0,0,SUPPRESS_CHARTED
44,42.376222,-71.048133,22,0.843,1,3.6,PONTON,3.6,62.2,563.6,124.0,579.5,0,0,SUPPRESS_CHARTED
45,42.376503,-71.042971,22,0.951,1,15.2,SLCONS,82.5,82.5,603.3,283.8,383.8,0,0,UNKNOWN_OUTCOV
46,42.376936,-71.046523,21,0.081,2,68.1,OBSTRN,80.5,80.5,610.7,11.1,445.8,0,0,TRANSIENT_NEARLANE
47,42.374030,-71.048512,21,0.720,2,13.1,PONTON,13.1,54.0,364.8,257.1,680.1,1,0,SUPPRESS_CHARTED
48,42.360038,-71.084984,21,0.928,3,177.2,SLCONS,177.2,177.2,3058.8,225.7,2681.2,1,0,KEEP_INCOV_UNCHARTED
49,42.360996,-71.082494,21,0.938,2,5.7,BUISGL,5.7,68.9,2860.8,339.7,2450.7,1,0,SUPPRESS_CHARTED
