# run_id: 2026-06-07_baseline
# started_at: 2026-06-07T16:48:10Z
# git_sha: unknown
# build_type: Release
# compiler: unknown
# host: unknown
# seeds: [0,1,2,3,4,5,6,7,8,9]
# configs: 5
# scenarios: 7
# total_runs: 350
# elapsed_seconds: 0.172577
run_id,config,scenario,seed,metric,value,unit
2026-06-07_baseline,ekf_cv_gnn,crossing,0,ospa_mean,18.1761,m
2026-06-07_baseline,ekf_cv_gnn,crossing,0,ospa_p95,15.0308,m
2026-06-07_baseline,ekf_cv_gnn,crossing,0,lifetime_ratio,0.975,ratio
2026-06-07_baseline,ekf_cv_gnn,crossing,0,track_breaks,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,0,id_switches,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,0,pos_rmse_m,6.99709,m
2026-06-07_baseline,ekf_cv_gnn,crossing,0,sog_rmse_mps,4.54465,m/s
2026-06-07_baseline,ekf_cv_gnn,crossing,0,cog_rmse_deg,4.04373,deg
2026-06-07_baseline,ekf_cv_gnn,crossing,1,ospa_mean,18.2358,m
2026-06-07_baseline,ekf_cv_gnn,crossing,1,ospa_p95,17.6245,m
2026-06-07_baseline,ekf_cv_gnn,crossing,1,lifetime_ratio,0.975,ratio
2026-06-07_baseline,ekf_cv_gnn,crossing,1,track_breaks,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,1,id_switches,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,1,pos_rmse_m,6.75201,m
2026-06-07_baseline,ekf_cv_gnn,crossing,1,sog_rmse_mps,4.0978,m/s
2026-06-07_baseline,ekf_cv_gnn,crossing,1,cog_rmse_deg,6.80548,deg
2026-06-07_baseline,ekf_cv_gnn,crossing,2,ospa_mean,17.8961,m
2026-06-07_baseline,ekf_cv_gnn,crossing,2,ospa_p95,13.3248,m
2026-06-07_baseline,ekf_cv_gnn,crossing,2,lifetime_ratio,0.975,ratio
2026-06-07_baseline,ekf_cv_gnn,crossing,2,track_breaks,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,2,id_switches,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,2,pos_rmse_m,6.28869,m
2026-06-07_baseline,ekf_cv_gnn,crossing,2,sog_rmse_mps,4.38894,m/s
2026-06-07_baseline,ekf_cv_gnn,crossing,2,cog_rmse_deg,6.11526,deg
2026-06-07_baseline,ekf_cv_gnn,crossing,3,ospa_mean,18.7259,m
2026-06-07_baseline,ekf_cv_gnn,crossing,3,ospa_p95,18.7958,m
2026-06-07_baseline,ekf_cv_gnn,crossing,3,lifetime_ratio,0.975,ratio
2026-06-07_baseline,ekf_cv_gnn,crossing,3,track_breaks,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,3,id_switches,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,3,pos_rmse_m,7.23518,m
2026-06-07_baseline,ekf_cv_gnn,crossing,3,sog_rmse_mps,4.33298,m/s
2026-06-07_baseline,ekf_cv_gnn,crossing,3,cog_rmse_deg,2.17884,deg
2026-06-07_baseline,ekf_cv_gnn,crossing,4,ospa_mean,19.0766,m
2026-06-07_baseline,ekf_cv_gnn,crossing,4,ospa_p95,16.7141,m
2026-06-07_baseline,ekf_cv_gnn,crossing,4,lifetime_ratio,0.975,ratio
2026-06-07_baseline,ekf_cv_gnn,crossing,4,track_breaks,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,4,id_switches,0,count
2026-06-07_baseline,ekf_cv_gnn,crossing,4,pos_rmse_m,7.65204,m
2026-06-07_baseline,ekf_cv_gnn,crossing,4,sog_rmse_mps,4.66765,m/s
