# run_id: 2026-06-29_philos_coverage_ab
# started_at: 2026-06-29T21:24:11Z
# git_sha: unknown
# build_type: Release
# compiler: unknown
# host: unknown
# seeds: [0]
# configs: 7
# scenarios: 2
# total_runs: 210
# elapsed_seconds: 1343.25
run_id,config,scenario,seed,metric,value,unit
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,wall_seconds,23.1072,s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,ospa_mean,470.326,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,ospa_p95,488.981,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,gospa_mean,99.129,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,gospa_p95,107.846,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,gospa_rms,99.3136,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,gospa_localization,123.192,m2
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,gospa_missed,1570,m2
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,gospa_false,8170,m2
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,card_err_mean,33,tracks
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,tgospa_raw,447.285,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,tgospa_smooth,213.073,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio,0.371583,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks,0.869565,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches,0.0434783,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m,8.83345,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps,1.94638,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg,80.2589,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_316028326,0.545455,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_316028326,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_316028326,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_316028326,11.2559,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_316028326,1.52629,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_316028326,113.07,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_316028326,6,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_366695940,0.2,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_366695940,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_366695940,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_366695940,17.6388,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_366695940,9.48732,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_366695940,30.8806,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_366695940,2,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367029020,0.923077,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367029020,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367029020,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367029020,0.956048,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367029020,0.376581,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367029020,43.0693,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367029020,12,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367062890,0.210526,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367062890,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367062890,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367062890,2.37355,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367062890,1.25507,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367062890,25.406,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367062890,4,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367074170,0.368421,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367074170,3,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367074170,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367074170,9.43739,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367074170,2.33428,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367074170,128.805,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367074170,7,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367164250,0,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367164250,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367164250,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367164250,0,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367164250,0,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367164250,0,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367164250,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367177370,1,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367177370,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367177370,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367177370,1.15786e-07,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367177370,0,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367177370,0,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367177370,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367367470,0.4,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367367470,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367367470,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367367470,5.49974e-07,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367367470,1.79552e-07,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367367470,66.3023,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367367470,4,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367377380,0,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367377380,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367377380,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367377380,0,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367377380,0,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367377380,0,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367377380,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367379320,0,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367379320,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367379320,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,pos_rmse_m:truth_367379320,0,m
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,sog_rmse_mps:truth_367379320,0,m/s
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,cog_rmse_deg:truth_367379320,0,deg
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,rmse_n:truth_367379320,0,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,lifetime_ratio:truth_367387420,0.571429,ratio
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,track_breaks:truth_367387420,1,count
2026-06-29_philos_coverage_ab,imm_cv_ct_pmbm,philos,0,id_switches:truth_367387420,0,count
