# run_id: cl1_drift_ekf_20260708
# started_at: 2026-07-08T16:46:17Z
# git_sha: unknown
# build_type: Release
# compiler: unknown
# host: unknown
# seeds: [0]
# configs: 1
# scenarios: 18
# total_runs: 46
# elapsed_seconds: 152.425
run_id,config,scenario,seed,metric,value,unit
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,wall_seconds,4.21121,s
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,ospa_mean,395.355,m
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,ospa_p95,471.419,m
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,gospa_mean,36.1356,m
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,gospa_p95,57.1971,m
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,gospa_rms,38.4482,m
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,gospa_localization,102.974,m2
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,gospa_missed,57.1429,m2
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,gospa_false,1318.15,m2
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,card_err_mean,6.30502,tracks
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,tgospa_raw,1522.11,m
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,tgospa_smooth,0,m
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,lifetime_ratio,0.946589,ratio
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,track_breaks,2.5,count
cl1_drift_ekf_20260708,imm_cv_ct_mht_ekf,autoferry_scenario2,0,id_switches,24.5,count
