# run_id: cl1_rescore_mht_20260708
# started_at: 2026-07-08T16:41:59Z
# git_sha: unknown
# build_type: Release
# compiler: unknown
# host: unknown
# seeds: [0]
# configs: 1
# scenarios: 18
# total_runs: 46
# elapsed_seconds: 131.782
run_id,config,scenario,seed,metric,value,unit
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,wall_seconds,3.96685,s
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,ospa_mean,381.99,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,ospa_p95,467.712,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,gospa_mean,33.2814,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,gospa_p95,53.5521,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,gospa_rms,35.1523,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,gospa_localization,102.224,m2
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,gospa_missed,61.0039,m2
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,gospa_false,1072.46,m2
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,card_err_mean,5.05727,tracks
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,tgospa_raw,1395.8,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,tgospa_smooth,0,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,lifetime_ratio,0.934685,ratio
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,track_breaks,3,count
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,id_switches,38,count
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,pos_rmse_m,10.6511,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,sog_rmse_mps,3.2302,m/s
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,cog_rmse_deg,51.129,deg
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,lifetime_ratio:truth_1,0.892535,ratio
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,track_breaks:truth_1,4,count
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,id_switches:truth_1,23,count
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,pos_rmse_m:truth_1,12.4833,m
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,sog_rmse_mps:truth_1,1.46352,m/s
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,cog_rmse_deg:truth_1,53.482,deg
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,rmse_n:truth_1,1387,count
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,lifetime_ratio:truth_2,0.976834,ratio
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,track_breaks:truth_2,2,count
cl1_rescore_mht_20260708,imm_cv_ct_mht,autoferry_scenario2,0,id_switches:truth_2,53,count
