# run_id: phase9_kcap3
# started_at: 2026-06-23T07:16:06Z
# git_sha: unknown
# build_type: Release
# compiler: unknown
# host: unknown
# seeds: [0,1]
# configs: 1
# scenarios: 10
# total_runs: 20
# elapsed_seconds: 0.252445
run_id,config,scenario,seed,metric,value,unit
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,ospa_mean,6.78408,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,ospa_p95,10.4314,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,gospa_mean,9.59414,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,gospa_p95,14.7522,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,gospa_rms,10.1967,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,tgospa_raw,64.4899,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,tgospa_smooth,32.4508,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,lifetime_ratio,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,track_breaks,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,id_switches,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,pos_rmse_m,7.19157,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,sog_rmse_mps,4.93412,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,cog_rmse_deg,15.825,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,lifetime_ratio:truth_1,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,track_breaks:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,id_switches:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,pos_rmse_m:truth_1,7.70934,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,sog_rmse_mps:truth_1,4.96277,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,cog_rmse_deg:truth_1,16.7178,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,rmse_n:truth_1,40,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,lifetime_ratio:truth_2,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,track_breaks:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,id_switches:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,pos_rmse_m:truth_2,6.6738,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,sog_rmse_mps:truth_2,4.90547,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,cog_rmse_deg:truth_2,14.9321,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,rmse_n:truth_2,40,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_mean,1.50597,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_median,1.11707,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_p95,4.36547,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_p99,5.09403,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_coverage_95,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_beta_hat,0.752983,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_n,80,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,0,nees_dropped_singular,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,ospa_mean,6.70328,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,ospa_p95,13.7731,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,gospa_mean,9.44522,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,gospa_p95,19.4519,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,gospa_rms,10.2883,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,tgospa_raw,65.0687,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,tgospa_smooth,35.4696,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,lifetime_ratio,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,track_breaks,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,id_switches,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,pos_rmse_m,7.3241,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,sog_rmse_mps,4.7671,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,cog_rmse_deg,16.8236,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,lifetime_ratio:truth_1,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,track_breaks:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,id_switches:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,pos_rmse_m:truth_1,7.49116,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,sog_rmse_mps:truth_1,4.77517,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,cog_rmse_deg:truth_1,15.0338,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,rmse_n:truth_1,40,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,lifetime_ratio:truth_2,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,track_breaks:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,id_switches:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,pos_rmse_m:truth_2,7.15704,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,sog_rmse_mps:truth_2,4.75903,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,cog_rmse_deg:truth_2,18.6134,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,rmse_n:truth_2,40,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_mean,1.46342,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_median,1.09438,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_p95,3.62968,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_p99,7.56437,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_coverage_95,0.975,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_beta_hat,0.731708,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_n,80,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,crossing,1,nees_dropped_singular,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,ospa_mean,4.23679,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,ospa_p95,6.39927,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,gospa_mean,5.99172,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,gospa_p95,9.04993,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,gospa_rms,6.26922,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,tgospa_raw,48.5612,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,tgospa_smooth,66.988,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,lifetime_ratio,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,track_breaks,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,id_switches,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,pos_rmse_m,4.43148,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,sog_rmse_mps,2.44661,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,cog_rmse_deg,14.6916,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,lifetime_ratio:truth_1,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,track_breaks:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,id_switches:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,pos_rmse_m:truth_1,4.5481,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,sog_rmse_mps:truth_1,1.94461,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,cog_rmse_deg:truth_1,16.3634,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,rmse_n:truth_1,60,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,lifetime_ratio:truth_2,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,track_breaks:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,id_switches:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,pos_rmse_m:truth_2,4.31485,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,sog_rmse_mps:truth_2,2.9486,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,cog_rmse_deg:truth_2,13.0198,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,rmse_n:truth_2,60,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_mean,1.42214,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_median,1.2495,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_p95,3.94846,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_p99,5.2275,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_coverage_95,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_beta_hat,0.71107,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_n,120,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,0,nees_dropped_singular,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,ospa_mean,4.02505,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,ospa_p95,6.44137,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,gospa_mean,5.69228,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,gospa_p95,9.10947,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,gospa_rms,6.23591,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,tgospa_raw,48.3032,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,tgospa_smooth,67.245,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,lifetime_ratio,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,track_breaks,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,id_switches,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,pos_rmse_m,4.40587,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,sog_rmse_mps,2.27672,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,cog_rmse_deg,13.7698,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,lifetime_ratio:truth_1,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,track_breaks:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,id_switches:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,pos_rmse_m:truth_1,4.22822,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,sog_rmse_mps:truth_1,1.70626,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,cog_rmse_deg:truth_1,13.7946,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,rmse_n:truth_1,60,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,lifetime_ratio:truth_2,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,track_breaks:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,id_switches:truth_2,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,pos_rmse_m:truth_2,4.58353,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,sog_rmse_mps:truth_2,2.84719,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,cog_rmse_deg:truth_2,13.745,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,rmse_n:truth_2,60,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_mean,1.32979,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_median,0.959519,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_p95,3.80163,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_p99,5.65359,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_coverage_95,0.991667,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_beta_hat,0.664893,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_n,120,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,overtaking,1,nees_dropped_singular,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,ospa_mean,6.778,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,ospa_p95,10.4314,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,gospa_mean,9.58554,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,gospa_p95,14.7522,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,gospa_rms,10.1875,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,tgospa_raw,64.4314,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,tgospa_smooth,32.4508,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,lifetime_ratio,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,track_breaks,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,id_switches,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,pos_rmse_m,7.18499,m
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,sog_rmse_mps,4.93398,m/s
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,cog_rmse_deg,15.8246,deg
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,lifetime_ratio:truth_1,1,ratio
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,track_breaks:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,id_switches:truth_1,0,count
phase9_kcap3,imm_cv_ct_pmbm_adapt,head_on,0,pos_rmse_m:truth_1,7.70315,m
